zip_code,per_price,city_country,,,,zip_code,,city_country,, per_price ,
365,595193.3884,苗栗縣泰安鄉,,,|,365,|,苗栗縣泰安鄉,|," $595,193 ",|
366,135963.6364,苗栗縣銅鑼鄉,,,|,366,|,苗栗縣銅鑼鄉,|," $135,964 ",|
367,101411.5702,苗栗縣三義鄉,,,|,367,|,苗栗縣三義鄉,|," $101,412 ",|
368,272105.7851,苗栗縣西湖鄉,,,|,368,|,苗栗縣西湖鄉,|," $272,106 ",|
369,89018.18182,苗栗縣卓蘭鎮,,,|,369,|,苗栗縣卓蘭鎮,|," $89,018 ",|
400,147080.9917,臺中市中區,,,|,400,|,臺中市中區,|," $147,081 ",|
401,190948.7603,臺中市東區,,,|,401,|,臺中市東區,|," $190,949 ",|
402,182517.3554,臺中市南區,,,|,402,|,臺中市南區,|," $182,517 ",|
403,206375.2066,臺中市西區,,,|,403,|,臺中市西區,|," $206,375 ",|
404,185525.6199,臺中市北區,,,|,404,|,臺中市北區,|," $185,526 ",|
406,206680.9917,臺中市北屯區,,,|,406,|,臺中市北屯區,|," $206,681 ",|
407,240809.9174,臺中市西屯區,,,|,407,|,臺中市西屯區,|," $240,810 ",|
408,239725.6199,臺中市南屯區,,,|,408,|,臺中市南屯區,|," $239,726 ",|
411,192400,臺中市太平區,,,|,411,|,臺中市太平區,|," $192,400 ",|
412,190076.0331,臺中市大里區,,,|,412,|,臺中市大里區,|," $190,076 ",|
413,174105.7851,臺中市霧峰區,,,|,413,|,臺中市霧峰區,|," $174,106 ",|
414,186340.4959,臺中市烏日區,,,|,414,|,臺中市烏日區,|," $186,340 ",|
420,196072.7273,臺中市豐原區,,,|,420,|,臺中市豐原區,|," $196,073 ",|
421,187877.686,臺中市后里區,,,|,421,|,臺中市后里區,|," $187,878 ",|
422,156849.5868,臺中市石岡區,,,|,422,|,臺中市石岡區,|," $156,850 ",|
423,119750.4133,臺中市東勢區,,,|,423,|,臺中市東勢區,|," $119,750 ",|
426,120963.6364,臺中市新社區,,,|,426,|,臺中市新社區,|," $120,964 ",|
427,188335.5372,臺中市潭子區,,,|,427,|,臺中市潭子區,|," $188,336 ",|
428,197854.5454,臺中市大雅區,,,|,428,|,臺中市大雅區,|," $197,855 ",|
429,202517.3554,臺中市神岡區,,,|,429,|,臺中市神岡區,|," $202,517 ",|
432,161801.6529,臺中市大肚區,,,|,432,|,臺中市大肚區,|," $161,802 ",|
433,184105.7851,臺中市沙鹿區,,,|,433,|,臺中市沙鹿區,|," $184,106 ",|
434,168271.0744,臺中市龍井區,,,|,434,|,臺中市龍井區,|," $168,271 ",|
435,164294.2149,臺中市梧棲區,,,|,435,|,臺中市梧棲區,|," $164,294 ",|
436,166442.9752,臺中市清水區,,,|,436,|,臺中市清水區,|," $166,443 ",|
437,155375.2066,臺中市大甲區,,,|,437,|,臺中市大甲區,|," $155,375 ",|
438,138333.8843,臺中市外埔區,,,|,438,|,臺中市外埔區,|," $138,334 ",|
439,116358.6777,臺中市大安區,,,|,439,|,臺中市大安區,|," $116,359 ",|
500,165014.8761,彰化縣彰化市,,,|,500,|,彰化縣彰化市,|," $165,015 ",|
502,110705.7852,彰化縣芬園鄉,,,|,502,|,彰化縣芬園鄉,|," $110,706 ",|
503,166714.0496,彰化縣花壇鄉,,,|,503,|,彰化縣花壇鄉,|," $166,714 ",|
504,166257.8512,彰化縣秀水鄉,,,|,504,|,彰化縣秀水鄉,|," $166,258 ",|
505,159720.6612,彰化縣鹿港鎮,,,|,505,|,彰化縣鹿港鎮,|," $159,721 ",|
506,156170.248,彰化縣福興鄉,,,|,506,|,彰化縣福興鄉,|," $156,170 ",|
507,140773.5537,彰化縣線西鄉,,,|,507,|,彰化縣線西鄉,|," $140,774 ",|
508,166773.5537,彰化縣和美鎮,,,|,508,|,彰化縣和美鎮,|," $166,774 ",|
509,149550.4132,彰化縣伸港鄉,,,|,509,|,彰化縣伸港鄉,|," $149,550 ",|
510,170319.0083,彰化縣員林鎮,,,|,510,|,彰化縣員林鎮,|," $170,319 ",|
511,150723.9669,彰化縣社頭鄉,,,|,511,|,彰化縣社頭鄉,|," $150,724 ",|
512,150439.6694,彰化縣永靖鄉,,,|,512,|,彰化縣永靖鄉,|," $150,440 ",|
513,149798.3471,彰化縣埔心鄉,,,|,513,|,彰化縣埔心鄉,|," $149,798 ",|
